ear, 0x1f442
ear_tone1, 0x1f442,0x1f3fb
ear_tone2, 0x1f442,0x1f3fc
ear_tone3, 0x1f442,0x1f3fd
ear_tone4, 0x1f442,0x1f3fe
ear_tone5, 0x1f442,0x1f3ff
nose, 0x1f443
nose_tone1, 0x1f443,0x1f3fb
nose_tone2, 0x1f443,0x1f3fc
nose_tone3, 0x1f443,0x1f3fd
nose_tone4, 0x1f443,0x1f3fe
nose_tone5, 0x1f443,0x1f3ff
footprints, 0x1f463
eye, 0x1f441
eyes, 0x1f440
speaking_head, 0x1f5e3
bust_in_silhouette, 0x1f464
busts_in_silhouette, 0x1f465
baby, 0x1f476
baby_tone1, 0x1f476,0x1f3fb
baby_tone2, 0x1f476,0x1f3fc
baby_tone3, 0x1f476,0x1f3fd
baby_tone4, 0x1f476,0x1f3fe
baby_tone5, 0x1f476,0x1f3ff
boy, 0x1f466
boy_tone1, 0x1f466,0x1f3fb
boy_tone2, 0x1f466,0x1f3fc
boy_tone3, 0x1f466,0x1f3fd
boy_tone4, 0x1f466,0x1f3fe
boy_tone5, 0x1f466,0x1f3ff
girl, 0x1f467
girl_tone1, 0x1f467,0x1f3fb
girl_tone2, 0x1f467,0x1f3fc
girl_tone3, 0x1f467,0x1f3fd
girl_tone4, 0x1f467,0x1f3fe
girl_tone5, 0x1f467,0x1f3ff
man, 0x1f468
man_tone1, 0x1f468,0x1f3fb
man_tone2, 0x1f468,0x1f3fc
man_tone3, 0x1f468,0x1f3fd
man_tone4, 0x1f468,0x1f3fe
man_tone5, 0x1f468,0x1f3ff
woman, 0x1f469
woman_tone1, 0x1f469,0x1f3fb
woman_tone2, 0x1f469,0x1f3fc
woman_tone3, 0x1f469,0x1f3fd
woman_tone4, 0x1f469,0x1f3fe
woman_tone5, 0x1f469,0x1f3ff
blond-haired_woman, 0x1f471,0x2640
blond-haired_woman_tone1, 0x1f471,0x1f3fb,0x2640
blond-haired_woman_tone2, 0x1f471,0x1f3fc,0x2640
blond-haired_woman_tone3, 0x1f471,0x1f3fd,0x2640
blond-haired_woman_tone4, 0x1f471,0x1f3fe,0x2640
blond-haired_woman_tone5, 0x1f471,0x1f3ff,0x2640
blond_haired_person, 0x1f471
blond_haired_person_tone1, 0x1f471,0x1f3fb
blond_haired_person_tone2, 0x1f471,0x1f3fc
blond_haired_person_tone3, 0x1f471,0x1f3fd
blond_haired_person_tone4, 0x1f471,0x1f3fe
blond_haired_person_tone5, 0x1f471,0x1f3ff
blond-haired_man, 0x1f471,0x2642
blond-haired_man_tone5, 0x1f471,0x1f3ff,0x2642
blond-haired_man_tone4, 0x1f471,0x1f3fe,0x2642
blond-haired_man_tone3, 0x1f471,0x1f3fd,0x2642
blond-haired_man_tone2, 0x1f471,0x1f3fc,0x2642
blond-haired_man_tone1, 0x1f471,0x1f3fb,0x2642
older_man, 0x1f474
older_man_tone1, 0x1f474,0x1f3fb
older_man_tone2, 0x1f474,0x1f3fc
older_man_tone3, 0x1f474,0x1f3fd
older_man_tone4, 0x1f474,0x1f3fe
older_man_tone5, 0x1f474,0x1f3ff
older_woman, 0x1f475
older_woman_tone1, 0x1f475,0x1f3fb
older_woman_tone2, 0x1f475,0x1f3fc
older_woman_tone3, 0x1f475,0x1f3fd
older_woman_tone4, 0x1f475,0x1f3fe
older_woman_tone5, 0x1f475,0x1f3ff
man_with_chinese_cap, 0x1f472
man_with_chinese_cap_tone1, 0x1f472,0x1f3fb
man_with_chinese_cap_tone2, 0x1f472,0x1f3fc
man_with_chinese_cap_tone3, 0x1f472,0x1f3fd
man_with_chinese_cap_tone4, 0x1f472,0x1f3fe
man_with_chinese_cap_tone5, 0x1f472,0x1f3ff
woman_wearing_turban, 0x1f473,0x2640
woman_wearing_turban_tone1, 0x1f473,0x1f3fb,0x2640
woman_wearing_turban_tone2, 0x1f473,0x1f3fc,0x2640
woman_wearing_turban_tone3, 0x1f473,0x1f3fd,0x2640
woman_wearing_turban_tone4, 0x1f473,0x1f3fe,0x2640
woman_wearing_turban_tone5, 0x1f473,0x1f3ff,0x2640
person_wearing_turban, 0x1f473
person_wearing_turban_tone1, 0x1f473,0x1f3fb
person_wearing_turban_tone2, 0x1f473,0x1f3fc
person_wearing_turban_tone3, 0x1f473,0x1f3fd
person_wearing_turban_tone4, 0x1f473,0x1f3fe
person_wearing_turban_tone5, 0x1f473,0x1f3ff
man_wearing_turban, 0x1f473,0x2642
man_wearing_turban_tone5, 0x1f473,0x1f3ff,0x2642
man_wearing_turban_tone4, 0x1f473,0x1f3fe,0x2642
man_wearing_turban_tone3, 0x1f473,0x1f3fd,0x2642
man_wearing_turban_tone2, 0x1f473,0x1f3fc,0x2642
man_wearing_turban_tone1, 0x1f473,0x1f3fb,0x2642
woman_police_officer, 0x1f46e,0x2640
woman_police_officer_tone1, 0x1f46e,0x1f3fb,0x2640
woman_police_officer_tone2, 0x1f46e,0x1f3fc,0x2640
woman_police_officer_tone3, 0x1f46e,0x1f3fd,0x2640
woman_police_officer_tone4, 0x1f46e,0x1f3fe,0x2640
woman_police_officer_tone5, 0x1f46e,0x1f3ff,0x2640
police_officer, 0x1f46e
police_officer_tone1, 0x1f46e,0x1f3fb
police_officer_tone2, 0x1f46e,0x1f3fc
police_officer_tone3, 0x1f46e,0x1f3fd
police_officer_tone4, 0x1f46e,0x1f3fe
police_officer_tone5, 0x1f46e,0x1f3ff
man_police_officer, 0x1f46e,0x2642
man_police_officer_tone5, 0x1f46e,0x1f3ff,0x2642
man_police_officer_tone4, 0x1f46e,0x1f3fe,0x2642
man_police_officer_tone3, 0x1f46e,0x1f3fd,0x2642
man_police_officer_tone2, 0x1f46e,0x1f3fc,0x2642
man_police_officer_tone1, 0x1f46e,0x1f3fb,0x2642
woman_construction_worker, 0x1f477,0x2640
woman_construction_worker_tone1, 0x1f477,0x1f3fb,0x2640
woman_construction_worker_tone2, 0x1f477,0x1f3fc,0x2640
woman_construction_worker_tone3, 0x1f477,0x1f3fd,0x2640
woman_construction_worker_tone4, 0x1f477,0x1f3fe,0x2640
woman_construction_worker_tone5, 0x1f477,0x1f3ff,0x2640
construction_worker, 0x1f477
construction_worker_tone1, 0x1f477,0x1f3fb
construction_worker_tone2, 0x1f477,0x1f3fc
construction_worker_tone3, 0x1f477,0x1f3fd
construction_worker_tone4, 0x1f477,0x1f3fe
construction_worker_tone5, 0x1f477,0x1f3ff
man_construction_worker, 0x1f477,0x2642
man_construction_worker_tone5, 0x1f477,0x1f3ff,0x2642
man_construction_worker_tone4, 0x1f477,0x1f3fe,0x2642
man_construction_worker_tone3, 0x1f477,0x1f3fd,0x2642
man_construction_worker_tone2, 0x1f477,0x1f3fc,0x2642
man_construction_worker_tone1, 0x1f477,0x1f3fb,0x2642
woman_guard, 0x1f482,0x2640
woman_guard_tone1, 0x1f482,0x1f3fb,0x2640
woman_guard_tone2, 0x1f482,0x1f3fc,0x2640
woman_guard_tone3, 0x1f482,0x1f3fd,0x2640
woman_guard_tone4, 0x1f482,0x1f3fe,0x2640
woman_guard_tone5, 0x1f482,0x1f3ff,0x2640
guard, 0x1f482
